"feature","frequency","rank","docfreq","group"
"sun",48,951,45,"all"
"finished",48,951,47,"all"
"eating",48,951,43,"all"
"ya",48,951,44,"all"
"employees",48,951,41,"all"
"radio",48,951,46,"all"
"released",48,951,47,"all"
"message",48,951,42,"all"
"begin",48,951,47,"all"
"voice",48,951,48,"all"
"cake",47,966,28,"all"
"followed",47,966,47,"all"
"marriage",47,966,37,"all"
"author",47,966,41,"all"
"changed",47,966,47,"all"
"form",47,966,45,"all"
"figure",47,966,47,"all"
"spot",47,966,45,"all"
"blood",47,966,40,"all"
"internet",47,966,46,"all"
"learning",47,966,45,"all"
"beach",47,966,42,"all"
"technology",47,966,46,"all"
"role",47,966,43,"all"
"statement",47,966,45,"all"
"stand",46,981,45,"all"
"collection",46,981,42,"all"
"view",46,981,42,"all"
"garden",46,981,40,"all"
"sitting",46,981,44,"all"
"interested",46,981,46,"all"
"workers",46,981,41,"all"
"caught",46,981,46,"all"
"regular",46,981,45,"all"
"interest",46,981,45,"all"
"driving",46,981,42,"all"
"block",46,981,45,"all"
"comment",46,981,41,"all"
"cream",46,981,40,"all"
"announced",46,981,45,"all"
"speak",46,981,42,"all"
"cases",46,981,41,"all"
"rate",46,981,39,"all"
"wonder",46,981,45,"all"
"difference",46,981,45,"all"
"officer",46,981,42,"all"
"oregon",46,981,42,"all"
"we'll",46,981,45,"all"
"build",45,1004,41,"all"
"bank",45,1004,40,"all"
"opportunity",45,1004,44,"all"
"orange",45,1004,41,"all"
"beginning",45,1004,44,"all"
"california",45,1004,43,"all"
"investigation",45,1004,40,"all"
